Lat,Lon,Title,Province/State,X.1,Country/Region,Confirmed,Deaths,Recovered
36.1143945,138.0319015,"Nagano Prefecture, Japan",Nagano Prefecture,", ",Japan,2,0,0
32.6450475,130.6341345,"Kumamoto City, Japan",Kumamoto City,", ",Japan,2,0,0
43.061936,141.3542924,"Sapporo, Japan",Sapporo,", ",Japan,4,0,0
36.9888678,136.8163563,"Ishikawa Prefecture, Japan",Ishikawa Prefecture,", ",Japan,2,0,0
35.1851045,136.8998438,"Nagoya City, Japan",Nagoya City,", ",Japan,7,0,0
34.337083,134.8401447,"Japan , City NA",Japan ,", ",City NA,878,12,53
13.8918425,100.0165659,"Nakhon Pathom, Thailand",Nakhon Pathom,", ",Thailand,1,0,0
13.8610918,100.3456772,"Nonthaburi province, Thailand",Nonthaburi province,", ",Thailand,3,0,0
13.7542529,100.493087,"Bangkok, Thailand",Bangkok,", ",Thailand,10,0,0
15.87,100.993,"Thailand , City NA",Thailand ,", ",City NA,29,1,31
37.5649826,126.9392108,"Seoul, South Korea ",Seoul,", ",South Korea ,99,0,0
36.9924966,127.1127168,"Pyeongtaek, South Korea",Pyeongtaek,", ",South Korea,2,0,0
35.1799528,129.0752365,"Busan, South Korea",Busan,", ",South Korea,93,0,0
37.456,126.7052,"Incheon, South Korea",Incheon,", ",South Korea,9,0,0
36.3496,127.3848,"Daejeon, South Korea",Daejeon,", ",South Korea,15,0,0
36.5,127.75,"Gyeong-gi, South Korea",Gyeong-gi,", ",South Korea,101,0,0
36.5795879,128.4679981,"Gyeong-buk,South Korea",Gyeong-buk,",",South Korea,774,0,0
34.68778,126.91492,"Chung-Nam,South Korea",Chung-Nam,",",South Korea,82,0,0
35.8713,128.6018,"Daegu, South Korea",Daegu,", ",South Korea,4.006,0,0
34.7631736,127.6618109,"South Korea , City NA",South Korea ,", ",City NA,147,32,41
1.340863,103.8303918,"Singapore, Singapore",Singapore,", ",Singapore,110,0,78
21.0294498,105.8544441,"Hanoi, Vietnam",Hanoi,", ",Vietnam,1,0,1
19.3738868,104.9233469,"Vietnam, City NA",Vietnam,", ",City NA,8,0,8
10.6497452,106.7619794,"Ho Chi Minh City, Vietnam",Ho Chi Minh City,", ",Vietnam,5,0,5
21.311356,105.6032944,"Vinh Phuc, Vietnam",Vinh Phuc,", ",Vietnam,2,0,2
44.841225,-0.5800364,"Bordeaux, France ",Bordeaux,", ",France ,1,0,0
48.8036073,2.3452024,"France , City NA",France ,", ",City NA,202,3,12
48.8566969,2.3514616,"Paris, France",Paris,", ",France,4,1,0
46.2161791,6.3367908,"Eastern Haute-Savoie, France",Eastern Haute-Savoie,", ",France,5,0,0
27.708317,85.3205817,"Kathmandu, Nepal",Kathmandu,", ",Nepal,1,0,1
1.4953041,103.7550839,"Johor Baru, Malaysia ",Johor Baru,", ",Malaysia ,6,0,0
2.8407983,102.1540798,"Malaysia, City NA",Malaysia,", ",City NA,19,0,22
3.1516964,101.6942371,"Kuala Lumpur, Malaysia ",Kuala Lumpur,", ",Malaysia ,3,0,0
6.3700386,99.7928634,"Langkawi, Malaysia ",Langkawi,", ",Malaysia ,1,0,0
6.1231908,100.3683962,"Alor Setar, Malaysia ",Alor Setar,", ",Malaysia ,1,0,0
3.21,101.55,"Sungai Buloh, Malaysia ",Sungai Buloh,", ",Malaysia ,3,0,0
50.000678,-86.000977,"Ontario, Canada",Ontario,", ",Canada,20,0,3
52.4760892,-71.8258668,"Quebec, Canada",Quebec,", ",Canada,1,0,0
55.001251,-125.002441,"British Columbia, Canada",British Columbia,", ",Canada,12,0,3
10.6220485,103.5223365,"Sihanoukville, Cambodia",Sihanoukville,", ",Cambodia,1,0,1
9.7921622,80.0752392,"Sri Lanka , City NA",Sri Lanka ,", ",City NA,1,0,1
